           0  4.800000000000000E-003  0.390079484951671     
           1  5.200000000000000E-003  4.535992551936412E-002
           2  5.600000000000000E-003  3.201138501100043E-004
           3  6.000000000000000E-003  4.317351571573080E-005
           4  6.500000000000000E-003  1.318719334844234E-006
           5  6.900000000000000E-003  3.444159173636604E-008
           6  7.300000000000000E-003  9.081006967912277E-010
           7  7.700000000000000E-003  2.408720453239385E-011
           8  8.100000000000000E-003  6.356927879507301E-013
           9  8.600000000000000E-003  1.211268069119086E-014
          10  8.999999999999999E-003  7.287220210144391E-016
          11  9.400000000000000E-003  2.601789250348549E-015
